,rouge-1,rouge-2,rouge-l
867,"{'r': 1.0, 'p': 0.8983050847457628, 'f': 0.946428566442921}","{'r': 0.9482758620689655, 'p': 0.8208955223880597, 'f': 0.87999999502592}","{'r': 1.0, 'p': 0.8983050847457628, 'f': 0.946428566442921}"
868,"{'r': 0.7454545454545455, 'p': 0.7192982456140351, 'f': 0.7321428521444516}","{'r': 0.6724137931034483, 'p': 0.6290322580645161, 'f': 0.6499999950055556}","{'r': 0.7272727272727273, 'p': 0.7017543859649122, 'f': 0.7142857092873087}"
869,"{'r': 0.23404255319148937, 'p': 0.22, 'f': 0.226804118716123}","{'r': 0.13793103448275862, 'p': 0.14285714285714285, 'f': 0.14035087219452158}","{'r': 0.23404255319148937, 'p': 0.22, 'f': 0.226804118716123}"
870,"{'r': 0.5294117647058824, 'p': 0.574468085106383, 'f': 0.5510204031715953}","{'r': 0.4032258064516129, 'p': 0.423728813559322, 'f': 0.41322313549894135}","{'r': 0.5294117647058824, 'p': 0.574468085106383, 'f': 0.5510204031715953}"
871,"{'r': 0.75, 'p': 0.6666666666666666, 'f': 0.7058823479584776}","{'r': 0.6190476190476191, 'p': 0.5064935064935064, 'f': 0.5571428521928571}","{'r': 0.75, 'p': 0.6666666666666666, 'f': 0.7058823479584776}"
872,"{'r': 0.8541666666666666, 'p': 0.8541666666666666, 'f': 0.8541666616666668}","{'r': 0.711864406779661, 'p': 0.7924528301886793, 'f': 0.7499999950143496}","{'r': 0.8541666666666666, 'p': 0.8541666666666666, 'f': 0.8541666616666668}"
873,"{'r': 0.9803921568627451, 'p': 0.9259259259259259, 'f': 0.9523809473850341}","{'r': 0.9047619047619048, 'p': 0.890625, 'f': 0.8976377902759006}","{'r': 0.9803921568627451, 'p': 0.9259259259259259, 'f': 0.9523809473850341}"
874,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
875,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.9682539682539683, 'p': 0.9838709677419355, 'f': 0.97599999500032}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
876,"{'r': 0.6, 'p': 0.66, 'f': 0.6285714235827665}","{'r': 0.5178571428571429, 'p': 0.5272727272727272, 'f': 0.5225225175229284}","{'r': 0.6, 'p': 0.66, 'f': 0.6285714235827665}"
877,"{'r': 0.7407407407407407, 'p': 0.6666666666666666, 'f': 0.7017543809787627}","{'r': 0.5625, 'p': 0.5294117647058824, 'f': 0.545454540459137}","{'r': 0.7407407407407407, 'p': 0.6666666666666666, 'f': 0.7017543809787627}"
878,"{'r': 0.5714285714285714, 'p': 0.5517241379310345, 'f': 0.5614035037734688}","{'r': 0.421875, 'p': 0.421875, 'f': 0.42187499500000003}","{'r': 0.5714285714285714, 'p': 0.5517241379310345, 'f': 0.5614035037734688}"
879,"{'r': 0.8867924528301887, 'p': 1.0, 'f': 0.939999995018}","{'r': 0.8548387096774194, 'p': 0.9814814814814815, 'f': 0.9137930984720571}","{'r': 0.8867924528301887, 'p': 1.0, 'f': 0.939999995018}"
880,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
881,"{'r': 0.8048780487804879, 'p': 0.6470588235294118, 'f': 0.7173912994068998}","{'r': 0.7, 'p': 0.603448275862069, 'f': 0.648148143175583}","{'r': 0.8048780487804879, 'p': 0.6470588235294118, 'f': 0.7173912994068998}"
882,"{'r': 0.875, 'p': 0.7777777777777778, 'f': 0.823529406782007}","{'r': 0.796875, 'p': 0.6986301369863014, 'f': 0.7445255424668337}","{'r': 0.875, 'p': 0.7777777777777778, 'f': 0.823529406782007}"
883,"{'r': 0.2727272727272727, 'p': 0.2631578947368421, 'f': 0.2678571378587373}","{'r': 0.05, 'p': 0.045454545454545456, 'f': 0.047619042630386015}","{'r': 0.2727272727272727, 'p': 0.2631578947368421, 'f': 0.2678571378587373}"
